7000, 0.05, 60.33
7000, 0.10, 60.00
7000, 0.20, 63.10
7000, 0.30, 66.01
7000, 0.50, 64.27
7000, 1.00, 68.73
7000, 2.00, 71.54
7000, 3.00, 68.13
7000, 4.00, 72.81
7000, 8.00, 74.06
11000, 0.05, 59.79
11000, 0.10, 63.10
11000, 0.20, 65.25
11000, 0.30, 64.10
11000, 0.50, 66.97
11000, 1.00, 71.08
11000, 2.00, 71.20
11000, 3.00, 71.98
11000, 4.00, 71.95
11000, 8.00, 73.07
13000, 0.05, 63.66
13000, 0.10, 63.05
13000, 0.20, 63.37
13000, 0.30, 64.90
13000, 0.50, 72.62
13000, 1.00, 68.46
13000, 2.00, 70.51
13000, 3.00, 72.19
13000, 4.00, 69.92
13000, 8.00, 74.98
7000, 0.05, 57.89
7000, 0.10, 63.05
7000, 0.20, 65.04
7000, 0.30, 61.13
7000, 0.50, 68.05
7000, 1.00, 70.49
7000, 2.00, 68.56
7000, 3.00, 71.21
7000, 4.00, 72.55
7000, 8.00, 73.41
11000, 0.05, 59.74
11000, 0.10, 62.55
11000, 0.20, 68.13
11000, 0.30, 65.98
11000, 0.50, 69.03
11000, 1.00, 70.63
11000, 2.00, 72.04
11000, 3.00, 72.32
11000, 4.00, 73.14
11000, 8.00, 74.74
13000, 0.05, 57.20
13000, 0.10, 61.10
13000, 0.20, 64.90
13000, 0.30, 65.52
13000, 0.50, 68.70
13000, 1.00, 67.24
13000, 2.00, 70.18
13000, 3.00, 71.58
13000, 4.00, 74.26
13000, 8.00, 74.37
7000, 0.05, 60.72
7000, 0.10, 62.20
7000, 0.20, 63.67
7000, 0.30, 67.73
7000, 0.50, 65.48
7000, 1.00, 67.02
7000, 2.00, 65.98
7000, 3.00, 69.75
7000, 4.00, 69.72
7000, 8.00, 70.46
11000, 0.05, 60.60
11000, 0.10, 61.86
11000, 0.20, 66.28
11000, 0.30, 61.02
11000, 0.50, 70.01
11000, 1.00, 70.67
11000, 2.00, 70.76
11000, 3.00, 71.43
11000, 4.00, 72.34
11000, 8.00, 73.32
13000, 0.05, 59.44
13000, 0.10, 66.55
13000, 0.20, 66.50
13000, 0.30, 67.55
13000, 0.50, 68.93
13000, 1.00, 69.11
13000, 2.00, 73.52
13000, 3.00, 72.44
13000, 4.00, 71.58
13000, 8.00, 75.67
7000, 0.05, 57.55
7000, 0.10, 59.34
7000, 0.20, 62.75
7000, 0.30, 60.86
7000, 0.50, 68.50
7000, 1.00, 70.08
7000, 2.00, 68.77
7000, 3.00, 69.76
7000, 4.00, 73.90
7000, 8.00, 74.04
11000, 0.05, 55.33
11000, 0.10, 64.33
11000, 0.20, 66.00
11000, 0.30, 66.46
11000, 0.50, 70.18
11000, 1.00, 68.59
11000, 2.00, 73.35
11000, 3.00, 71.42
11000, 4.00, 74.27
11000, 8.00, 73.37
13000, 0.05, 53.11
13000, 0.10, 57.45
13000, 0.20, 66.85
13000, 0.30, 68.61
13000, 0.50, 69.01
13000, 1.00, 70.37
13000, 2.00, 73.69
13000, 3.00, 73.58
13000, 4.00, 72.30
13000, 8.00, 73.70
