1000,0.05,53.92
1000,0.10,53.68
1000,0.20,55.62
1000,0.30,59.43
1000,0.50,57.42
1000,1.00,62.84
1000,2.00,59.72
1000,3.00,70.95
1000,4.00,67.44
1000,8.00,69.06
3000,0.05,56.91
3000,0.10,57.18
3000,0.20,56.96
3000,0.30,62.90
3000,0.50,61.44
3000,1.00,67.92
3000,2.00,69.99
3000,3.00,71.16
3000,4.00,70.66
3000,8.00,70.68
5000,0.05,51.66
5000,0.10,55.89
5000,0.20,60.11
5000,0.30,61.74
5000,0.50,60.06
5000,1.00,68.95
5000,2.00,72.83
5000,3.00,72.55
5000,4.00,72.98
5000,8.00,73.35
7500,0.05,56.03
7500,0.10,58.90
7500,0.20,61.32
7500,0.30,64.24
7500,0.50,65.80
7500,1.00,67.80
7500,2.00,71.13
7500,3.00,70.99
7500,4.00,72.33
7500,8.00,73.35
10000,0.05,56.50
10000,0.10,56.96
10000,0.20,67.34
10000,0.30,60.25
10000,0.50,65.88
10000,1.00,68.78
10000,2.00,72.06
10000,3.00,71.39
10000,4.00,73.23
10000,8.00,74.61
13000,0.05,58.72
13000,0.10,60.71
13000,0.20,59.78
13000,0.30,67.47
13000,0.50,69.07
13000,1.00,68.58
13000,2.00,72.05
13000,3.00,73.39
13000,4.00,70.37
13000,8.00,75.44
