7000, 0.05, 39.19
7000, 0.10, 42.69
7000, 0.20, 45.60
7000, 0.30, 54.32
7000, 0.50, 53.20
7000, 1.00, 61.15
7000, 2.00, 63.01
7000, 3.00, 63.60
7000, 4.00, 63.82
7000, 8.00, 65.58
11000, 0.05, 44.64
11000, 0.10, 50.37
11000, 0.20, 49.53
11000, 0.30, 56.08
11000, 0.50, 58.57
11000, 1.00, 61.99
11000, 2.00, 64.18
11000, 3.00, 63.93
11000, 4.00, 65.16
11000, 8.00, 66.58
13000, 0.05, 42.50
13000, 0.10, 48.82
13000, 0.20, 50.88
13000, 0.30, 57.32
13000, 0.50, 58.04
13000, 1.00, 62.18
13000, 2.00, 64.04
13000, 3.00, 64.66
13000, 4.00, 65.64
13000, 8.00, 66.41
