1000,0.05,51.47
1000,0.10,52.92
1000,0.20,52.66
1000,0.30,63.23
1000,0.50,58.90
1000,1.00,71.57
1000,2.00,67.85
1000,3.00,78.98
1000,4.00,80.05
1000,8.00,80.82
3000,0.05,51.80
3000,0.10,58.38
3000,0.20,63.29
3000,0.30,64.08
3000,0.50,72.66
3000,1.00,77.78
3000,2.00,78.93
3000,3.00,81.59
3000,4.00,81.43
3000,8.00,81.67
5000,0.05,60.99
5000,0.10,57.87
5000,0.20,67.59
5000,0.30,70.33
5000,0.50,76.66
5000,1.00,80.54
5000,2.00,81.72
5000,3.00,81.91
5000,4.00,82.23
5000,8.00,82.13
7500,0.05,50.95
7500,0.10,61.85
7500,0.20,74.24
7500,0.30,77.04
7500,0.50,78.97
7500,1.00,80.90
7500,2.00,79.71
7500,3.00,82.29
7500,4.00,82.28
7500,8.00,82.34
10000,0.05,63.78
10000,0.10,67.52
10000,0.20,75.63
10000,0.30,77.75
10000,0.50,80.38
10000,1.00,81.84
10000,2.00,82.15
10000,3.00,82.24
10000,4.00,82.46
10000,8.00,82.59
13000,0.05,63.95
13000,0.10,72.60
13000,0.20,79.23
13000,0.30,78.75
13000,0.50,79.68
13000,1.00,81.52
13000,2.00,82.08
13000,3.00,82.51
13000,4.00,82.68
13000,8.00,82.78
